core_doseMean,core_doseDeviation,core_doseMin,coreDoseMax,lkb_pred,label
20.87,6.86,5.32,36.92,0.039,0
25.18,8.11,6.01,39.96,0.2491,0
30.16,7.89,8.41,43.94,0.8545,0
16.53,6.46,4.33,34.3,0,0
33,9.01,8.38,48.17,0.9845,1
30.01,9.08,7.04,45.66,0.8822,0
27.12,8.47,6.87,42.91,0.5253,0
21.96,6.05,6.46,36.95,0.08,0
22.28,6.97,5.79,37.26,0.0203,0
26.08,8.22,6.28,40.94,0.3794,1
27.65,8.43,6.78,42.61,0.6082,0
23.62,7.6,5.92,38.13,0.0871,0
24,6.32,7.53,37.65,0.0682,0
28.91,7.56,8.1,42.53,0.715,0
28.86,8.75,6.92,44.46,0.7643,1
26.05,8.13,6.21,40.35,0.3525,1
26.31,6.91,8.1,39.95,0.3065,1
31.73,9.17,7.67,46.65,0.9656,1
30.16,9.29,6.84,45.5,0.9072,1
31.28,8.35,8.71,45.44,0.9353,1
28.22,8.45,7.98,43.14,0.6848,1
24.61,7.96,5.85,39.39,0.181,0
25.01,6.73,7.49,38.78,0.1513,0
32.94,9.07,8.07,47.74,0.9855,1
30.23,8.95,7.27,45.25,0.8994,0
27.76,8.91,6.56,43.33,0.66,0
32,9.07,7.67,46.86,0.9689,1
27.65,8.43,6.78,42.61,0.6082,1
23.62,7.6,5.92,38.13,0.0871,0
33.33,9.14,8.19,48.94,0.9903,1
32.8,9.51,7.76,48.34,0.9873,1
31.97,9.6,7.83,47.87,0.978,1
32.89,9.43,8.31,48,0.988,1
30.12,9.19,6.93,45.58,0.899,1
23.93,8.21,5.53,39.83,0.1429,0
25.65,8.16,5.98,40.49,0.3192,0
22.63,7.05,5.97,37.21,0.031,0
26.36,8.32,6.51,41.87,0.4137,1
27.85,8.42,6.91,42.74,0.6403,1
24.96,7.57,6.41,39.26,0.1862,1
26.57,8.58,6.05,41.23,0.457,0
26.8,8.7,5.95,41.47,0.5185,1
29.54,8.89,6.91,43.92,0.8389,1
31.18,8.84,6.84,46,0.9412,1
32.52,9.96,7,48.91,0.9874,1
13.81,6.22,3.82,33.74,0,0
17.36,6.49,4.68,36.56,0,0
19.31,6.33,5.39,35.69,0.003,0
21.91,6.7,5.96,36.89,0.0111,0
24.11,7,7.12,38.31,0.0915,0
